year,rank,name,position,school,team_id,is_college,age,bats,throws,current_level
2022,109,Austin Charles,3B/SS,Stockdale (CA),,False,22,R,R,A+
2022,110,Chandler Pollard,SS/2B,Woodward Academy (GA),,False,22,R,R,A
2022,111,Trey Dombroski,LHP,Monmouth,IPEDS:185572,True,25,R,L,AA
2022,112,Ben Joyce,RHP,Tennessee,IPEDS:221759,True,25,R,R,A
2022,113,Xavier Isaac,1B,East Forsyth (NC),,False,22,L,L,AA
2022,114,Jayden Hylton,OF,Stetson,IPEDS:137546,True,22,R,R,
2022,115,Nolan McLean,RHP,Oklahoma State,IPEDS:207388,True,24,R,R,MLB
2022,116,Nate Savino,LHP,Virginia,IPEDS:234076,True,24,L,L,A+
2022,117,Brandon Sproat,RHP,Florida,IPEDS:134130,True,25,R,R,MLB
2022,118,Kassius Thomas,RHP,Stanford,IPEDS:243744,True,22,R,R,
2022,119,Caden Dana,RHP,Don Bosco (NJ),,False,22,L,R,AAA
2022,120,Ashton Izzi,RHP,Oswego East (IL),,False,22,R,R,AA
2022,121,Ike Irish,C/OF/1B,Auburn,IPEDS:100858,True,22,L,R,A+
2022,122,Maximus Martin,SS/OF,Kansas State,IPEDS:155399,True,22,R,R,A+
2022,123,Chandler Simpson,OF,Georgia Tech,IPEDS:139755,True,25,L,R,MLB
2022,124,Noah Dean,LHP,Old Dominion,IPEDS:232982,True,25,L,L,ROK
2022,125,Levi Huesman,LHP,Vanderbilt,IPEDS:221999,True,22,R,L,A
2022,126,Jack O'Connor,RHP,Virginia,IPEDS:234076,True,22,R,R,ROK
2022,127,Pete Hansen,LHP,Texas,IPEDS:228778,True,25,R,L,AAA
2022,128,Jackson Humphries,LHP,Fuquay-Varina (NC),,False,21,R,L,A+
2022,129,Chase Shores,RHP,Louisiana State,IPEDS:159391,True,21,R,R,A+
2022,130,Andrew Walters,RHP,Miami,IPEDS:135726,True,25,R,R,AAA
2022,131,Jacob Zibin,RHP,TNXL Academy (FL),,False,21,L,R,A
2022,132,Adonys Guzman,C,Arizona,IPEDS:104179,True,22,R,R,A+
2022,133,Logan Wagner,3B/2B,P27 Academy (SC),,False,22,S,R,A+
2022,134,Colby Holcombe,RHP,Mississippi State,IPEDS:176080,True,23,R,R,A+
2022,135,Troy Melton,RHP,San Diego State,IPEDS:122409,True,25,R,R,A
2022,136,Trey Lipscomb,INF,Tennessee,IPEDS:221759,True,25,R,R,AAA
2022,137,Drake Baldwin,C,Missouri State,IPEDS:179566,True,25,L,R,MLB
2022,138,Tres Gonzalez,OF,Georgia Tech,IPEDS:139755,True,25,L,L,AA
2022,139,Marcus Johnson,RHP,Duke,IPEDS:198419,True,25,R,R,AAA
2022,140,Jordan Sprinkle,SS,UC Santa Barbara,IPEDS:110705,True,25,R,R,AA
2022,141,Jace Grady,OF,Dallas Baptist,IPEDS:224226,True,24,S,R,A+
2022,142,Jared McKenzie,OF,Baylor,IPEDS:223232,True,24,L,L,A+
2022,143,Luis Ramirez,RHP,Long Beach State,IPEDS:110583,True,25,R,R,A+
2022,144,Anthony Hall,OF,Oregon,IPEDS:209551,True,25,L,L,A+
2022,145,Cade Hunter,C,Virginia Tech,IPEDS:233921,True,25,L,R,AA
2022,146,Silas Ardoin,C,Texas,IPEDS:228778,True,25,R,R,AAA
2022,147,Jeric Curtis,OF,Missouri,IPEDS:178396,True,22,R,R,
2022,148,Malachi Witherspoon,RHP,Oklahoma,IPEDS:207500,True,21,R,R,A
2022,149,JT Quinn,RHP,Georgia,IPEDS:139959,True,22,R,R,A+
2022,150,Riley Kelly,RHP,UC Irvine,IPEDS:110653,True,22,R,R,A
2022,151,Jimmy Crooks,C,Oklahoma,IPEDS:207500,True,24,L,R,AAA
2022,152,Jayson Jones,3B,Wichita State,IPEDS:156125,True,22,R,R,
2022,153,Justin Boyd,OF,Oregon State,IPEDS:209542,True,25,R,R,AA
2022,154,Jacob Watters,RHP,West Virginia,IPEDS:238032,True,25,R,R,AA
2022,155,Hayden Dunhurst,C,Mississippi,IPEDS:176017,True,25,L,R,A
2022,156,Andrew Taylor,RHP,Central Michigan,IPEDS:169248,True,24,R,R,A+
2022,157,David Lally Jr.,RHP,Michigan,IPEDS:170976,True,22,R,R,
2022,158,Brooks Brannon,C,Randleman (NC),,False,22,R,R,AA
2022,159,Grayson Saunier,RHP,Texas,IPEDS:228778,True,22,L,R,ROK
2022,160,Zach Crotchfelt,LHP,Texas Tech,IPEDS:229115,True,22,L,L,
2022,161,Sean McLain,SS,Arizona State,IPEDS:104151,True,25,R,R,AA
2022,162,Trey Faltine,SS,Texas,IPEDS:228778,True,25,R,R,AA
2022,163,Bryce Osmond,RHP,Oklahoma State,IPEDS:207388,True,25,R,R,AA
2022,164,Jack Brannigan,SS/3B,Notre Dame,IPEDS:152080,True,25,R,R,AA
2022,165,Drew Faurot,2B,Florida State,IPEDS:134097,True,22,S,R,A+
2022,166,Christopher Paciolla,SS,Temecula Valley (CA),,False,22,R,R,A+
2022,167,Alex McFarlane,RHP,Miami,IPEDS:135726,True,24,R,R,AA
2022,168,William Kempner,RHP,Gonzaga,IPEDS:235316,True,24,R,R,AAA
2022,169,Ryan Ritter,SS,Kentucky,IPEDS:157085,True,25,R,R,AAA
2022,170,Alex Freeland,INF,Central Florida,IPEDS:132903,True,24,S,R,AAA
2022,171,Adrian Rodriguez,SS,International Baseball Academy (PR),,False,22,R,R,A+
2022,172,Max Rajcic,RHP,UCLA,IPEDS:110662,True,24,R,R,AAA
2022,173,Brad Cumbest,OF,Mississippi State,IPEDS:176080,True,25,R,R,A
2022,174,Andrew Jenkins,1B,Georgia Tech,IPEDS:139755,True,25,R,R,AA
2022,175,Alan Roden,OF,Creighton,IPEDS:181002,True,26,L,R,AAA
2022,176,Michael Knorr,RHP,Coastal Carolina,IPEDS:218724,True,26,R,R,AAA
2022,177,Dakota Jordan,OF,Mississippi State,IPEDS:176080,True,23,R,R,A+
2022,178,Eric Snow,SS,Auburn,IPEDS:100858,True,22,R,R,A
2022,179,Mack Anglin,RHP,Clemson,IPEDS:217882,True,25,R,R,A
2022,180,Michael Prosecky,LHP,Louisville,IPEDS:157289,True,25,L,L,AA
2022,181,Kenya Huggins,RHP,Chipola JC,,False,23,R,R,AA
2022,182,Chris Stanfield,OF,Louisiana State,IPEDS:159391,True,22,R,R,
2022,183,Aiva Arquette,SS,Oregon State,IPEDS:209542,True,22,R,R,A+
2022,184,Eli Jerzembeck,RHP,South Carolina,IPEDS:218663,True,22,R,R,A+
2022,185,Patrick Forbes,RHP,Louisville,IPEDS:157289,True,21,R,R,A+
2022,186,Jace LaViolette,OF,Texas A&M,IPEDS:228723,True,22,L,L,A+
2022,187,Quinn Mathews,LHP,Stanford,IPEDS:243744,True,25,L,L,AAA
2022,188,Josh White,RHP,California,IPEDS:110635,True,25,R,R,AAA
2022,189,D'Andre Smith,SS,Southern California,IPEDS:123961,True,25,R,R,AA
2022,190,Chris Newell,OF,Virginia,IPEDS:234076,True,25,L,L,AA
2022,191,Luke Heyman,C,Florida,IPEDS:134130,True,22,R,R,A
2022,192,Gabriel Rincones Jr.,OF,Florida Atlantic,IPEDS:133669,True,25,L,R,A
2022,193,Payton Brennan,OF,UCLA,IPEDS:110662,True,22,L,R,
2022,194,Eli Serrano III,OF,North Carolina State,IPEDS:199193,True,23,L,L,AA
2022,195,Anthony Silva,SS,Texas Christian,IPEDS:228875,True,22,R,R,A+
2022,196,RJ Austin,OF,Vanderbilt,IPEDS:221999,True,22,R,R,A+
2022,197,Ross Highfill,C,Purdue,IPEDS:243780,True,22,R,R,
2022,198,Jared Jones,1B,Louisiana State,IPEDS:159391,True,22,R,R,A+
2022,199,Brock Wills,SS,West Virginia,IPEDS:238032,True,22,L,R,
2022,200,Zach Maxwell,RHP,Georgia Tech,IPEDS:139755,True,25,R,R,AAA
2022,201,Hayden Murphy,RHP,Auburn,IPEDS:100858,True,22,R,R,A
2022,202,Victor Mederos,RHP,Oklahoma State,IPEDS:207388,True,24,R,R,AAA
2022,203,Tyler Bremner,RHP,UC Santa Barbara,IPEDS:110705,True,22,R,R,A+
2022,204,Orion Kerkering,RHP,South Florida,IPEDS:137351,True,25,R,R,MLB
2022,205,Carter Garate,SS,Oregon,IPEDS:209551,True,22,L,R,A+
2022,206,David Sandlin,RHP,Oklahoma,IPEDS:207500,True,25,R,R,AAA
2022,207,Blake Burkhalter,RHP,Auburn,IPEDS:100858,True,25,R,R,AAA
2022,208,Trevor Martin,RHP,Oklahoma State,IPEDS:207388,True,25,R,R,AAA
2022,209,Mason Barnett,RHP,Auburn,IPEDS:100858,True,25,R,R,AAA
2022,210,Tyler Schweitzer,LHP,Ball State,IPEDS:150136,True,25,L,L,MLB
2022,211,Tyler Gough,RHP,JSerra (CA),,False,22,S,R,A
2022,212,JeanPierre Ortiz,RHP,Chipola JC,,False,22,R,R,A+
2022,213,Matthew Wood,C,Penn State,IPEDS:214777,True,25,L,R,AA
2022,214,Kody Huff,C,Stanford,IPEDS:243744,True,25,R,R,AAA
2022,215,Liam Simon,RHP,Notre Dame,IPEDS:152080,True,25,R,R,A+
2022,216,Will Vierling,C,Murray State,IPEDS:157401,True,22,L,R,A
2022,217,Yoel Tejeda Jr.,RHP,Florida State,IPEDS:134097,True,22,S,R,A+
2022,218,Jared Thomas,OF,Texas,IPEDS:228778,True,22,L,L,AA
2022,219,Chris Villaman,LHP,North Carolina State,IPEDS:199193,True,25,L,L,A+
2022,220,Jack Crighton,3B,Clemson,IPEDS:217882,True,22,R,R,
2022,221,Bradley Hodges,LHP,South Carolina,IPEDS:218663,True,22,L,L,
2022,222,Jorel Ortega,2B,Tennessee,IPEDS:221759,True,25,R,R,AA
2022,223,Douglas Hodo,OF,Texas,IPEDS:228778,True,25,R,R,AA
2022,224,Josh Hood,SS,North Carolina State,IPEDS:199193,True,25,R,R,AA
2022,225,Noah Samol,LHP,Clemson,IPEDS:217882,True,22,L,L,
